ID,System/Slice,Item,What parity requires,Current Everkai status,Source of truth,Numbers-or-Flow,Effort,Priority,Sprint,Status,Notes/Evidence
E16,Meta,Achievements,"Five categories (Village, Family, Progress, Treasure, Lifestyle); Super Achievement points; achievement medals feed the Museum Honor Room","IMPLEMENTED 2026-09-15 (lib/achievements.mjs, lib/achievement-data.json). 10 chains / 1,347 steps across 4 of the 5 original categories, shown in the Journey panel beside the 11 local milestones, which stay.","AchievementTaskType.json (5 categories, 32 chain heads); TaskGeneral.json (4,145 A_task_* rows); split_reward/reward.json",Numbers,M,P3,6,Fixed 2026-09-15 - 10 of 32 chains; 22 excluded with reasons,"TWO TRAPS, both recorded in the data file. (1) Achievement.json is an EMPTY WRAPPER -- the rows live in TaskGeneral.json (25,593 rows, 4,145 of them A_task_*). A wrapper-assuming counter reports 0 and reads as 'the data does not exist', which is exactly CLAUDE.md rule 3. (2) 190 rows carry taskReq {type,id} naming a stage ('5-6-0') rather than {type,count} -- rule 4. StageClear is therefore EXCLUDED on shape, not on size; mapping a stage id to a cleared-count would be an invention. | 10 of 32 requirement types are implemented and every one of the other 22 carries a written reason, guarded by a test that fails if a reason is missing or under 20 characters: Arena and ranking types are multiplayer (DATA-07 records rankings as fabricated server-side), event currencies have no permanent system to mint them, and three (EquipCount, Login, OrderSubmitCount) were dropped BECAUSE EVERKAI HAS NO HONEST COUNTER -- inventing one to satisfy an achievement is how fake progress ships. | Rewards pay crystals (item 4) and gold (item 3) from the original's own reward rows; 32 other reward items are listed in unmappedRewardItems and pay NOTHING rather than being substituted for something Everkai happens to have. | Claims must be a PREFIX of their chain (the original's nextTask link), so a forged save that skips ahead is refused. Negative-controlled twice: removing the goal check fails 1 of 5 tests, removing the prefix rule fails 1."
E17,Meta,Check-in,Seven-Day Login and daily sign-in cards with fortunes,ABSENT — habit dailies cover the intent,SignInCard,n/a,n/a,P3,n/a,Dropped 2026-09-15 - would work against the design,"DROPPED ON DESIGN GROUNDS, stated so it can be argued with. SignInCard is 4 rows (a weighted daily draw plus a 7-day login track). The whole of Everkai's economy is gated on FINISHING A HABIT -- bait refills, museum claims, materials, the Little Helper, Stella fragments. A check-in reward pays the player for OPENING THE APP instead, which is the one thing the design is built not to reward, and it would sit directly beside the habit gate offering a cheaper alternative. The intent behind a daily login streak is already carried by habit streaks, which the journal tracks (h.history, streak, milestone). Not dropped for being hard: it is four rows and would take an hour."
E18,Meta,Titles,"Prefix and suffix titles plus combined titles; Combo/Fixed/Ltd-Time labels; sources include fishing-spot completion, Stella levels, rankings and events; TITLES GATE Bazaar and Hall of Fame standing",ABSENT,"Title (3,113 rows)",Numbers,M,P3,6,Not started,"[NOT RE-VERIFIED] MP none, so portable. Blocks a clean B6/B9 adaptation because both gate on titles."
E19,Meta,Avatars / frames / chat frames,"Avatar types Default, Basic, Family, Fellow, Appearance, Transform, Dynamic, Familiar; 51 avatar frames; 50 chat frames; dynamic avatars at Stella 10",ABSENT,HeadType; HeadFream,Flow,S,P3,6,Not started,[NOT RE-VERIFIED] 90% bar (cosmetic). Rank rewards Reward_Appearance_Avatar_1 already exist unused in opening-data.json.
E20,Meta,Figures — protagonist transformation,Activate one Figure to change the protagonist's look; EACH OWNED FIGURE GRANTS ATTRIBUTE BONUSES TO FELLOWS OR FAMILY THAT STAY ACTIVE EVEN WHEN NOT WORN; star levels,ABSENT,rule Shapeshift; ShapeshiftClothes (51),Mixed,M,P3,6,Not started,"[NOT RE-VERIFIED] Not cosmetic despite appearances — the bonuses are permanent and unconditional, so this is a real power layer."
F1,Fellows,Level / Fellow EXP,"Levels spend Fellow EXP from stages, lessons and EXP stones",PRESENT — APK HeroLevel cost policy; local curve in classic mode; up to 750 with quality 1-14 breakthroughs in APK growth,"HeroLevel (1,000 rows)",Numbers,n/a,P1,2,Not started,[NOT RE-VERIFIED] 
F2,Fellows,Limit Break,Raises the level cap,PRESENT (local limit breaks in classic mode),HeroQuality (14 rows),Numbers,n/a,P1,2,Not started,[NOT RE-VERIFIED] 
F3,Fellows,"Types, Aptitude, Aptitude Skills, Talents",5 types; Aptitude is training potential; Aptitude Skills upgrade with Skill Pearls / Bazaar Proficiency / type books; Talents are natural abilities improved by Awakening,"PRESENT and now complete at tier I. All 159 shipped Fellows carry one of the original's five countries (Inspiring/Diligent/Brave/Informed/Unfettered = Country 1-5) and all 159 reach exactly one Insight I rule. It was 158/159: hero_60 (Kamakura) had no record in the wiki snapshot lib/public-roster.json, so its type was null and it was silently inert in SEVEN systems at once -- canOperate, insightRule, fishingBonuses, frontierPower, stellaBonus, the farm essence exchange and education.",HeroTalent; SkillBase; Country (5),Numbers,M,P1,2,"Fixed 2026-09-15 - tier I complete 159/159; tier II reassigned to F7, tier III dropped","[FIXED 2026-09-15] The hero_60 gap was recovery, not invention: Hero.json row ""60"" carries country ""5"" and rarity 3, and its heroBaseSkill names Hero_Talent_Country5Base_1 outright. Both mappings were measured by joining all 159 Fellows to Hero.json -- country 1-5 to the five type names agreed 158/158 before the fix, and insight eligibility against heroBaseSkill agreed 158/159 with ZERO Everkai-only extras in any of the five rules. Fixed by a one-entry APK supplement in lib/public-reference.mjs plus the matching eligibleFellows entry in lib/insight-data.json, guarded by tests/fellow-type-coverage.test.mjs and negative-controlled both ways (remove the supplement -> 'these Fellows have no type and are therefore inert...'; remove the eligibility entry -> 'hero_60 must be able to train Unfettered Insight I'). Rebaselined tests/insight-batches.test.mjs 158 -> 159. NO POWER-CEILING IMPACT: the ceiling fixture writes aptitude 1000 directly, so it does not move. HIGHER TIERS, now measured instead of assumed: SkillBase carries 15 Hero_Talent_Country*Base_* rows = 5 countries x 3 tiers, each maxUpgradeLevel 300, skillProp talent, skillProp_Initial = skillProp_Level = the tier number (tier II +2/level to +600, tier III +3/level to +900). Tier II is granted ONLY by rarity advancement -- 7 of 326 HeroRarityUpgrade rows name a Base_2 skill, all type 1, rarity 4 -> afterRarity 5 -- so it is not independently buildable and belongs to F7, not here. Tier III has NO unlock path in any gameplay table (positive control: Base_1 resolves in HeroRarityUpgradeStage, SkillType, SkillLevel and Hero.json; Base_3 resolves only in SkillBase, SkillType, SkillLevel and translations), so it is dormant content in the original too -- DROPPED rather than invented. 'Talents improved by Awakening' is F5's scope."
F4,Fellows,Stella,Activate after invite; fragments upgrade Power; titles and dynamic avatars at milestones,"PARTIAL — 4 owners only (Angie 40, Liz 40, Rani 40, Elise 20 levels)","HeroSpirit (3,266 rows); heroSpiritCost = Item_Owner_HeroPiece_<id>",Numbers,L,P2,2,Not started,[NOT RE-VERIFIED] Stella activation is 'authored' — stella-activation-policy.json records originalValueVerified:false. 4 of 159 Fellows is the real coverage number.
F5,Fellows,Awakening,Star ranks 1-20 (Novice to Ascendent); the main Power route for rare Fellows; raises talent levels,ABSENT,"HeroStar, AwakenName",Numbers,L,P1,2,Not started,"[NOT RE-VERIFIED] CANNOT BE OBSERVED: the server REFUSES it too. Building it is RECONSTRUCTION from configs, not recovery. One of the four late-game Fellow layers (F5-F8) that are all absent together."
F6,Fellows,Aura,"Rare Fellows' % Power auras; group auras (Hero Five-Man Team, Four Heavenly Kings) scale with members owned; aura skills upgrade",ABSENT,Aura / EHeroEvents,Numbers,L,P2,2,Not started,[NOT RE-VERIFIED] Server REJECTs 'Unsupported origin request' on underling_upgrade_magic — absent there too.
F7,Fellows,Rarity Advancement,"N to SSR to SSR+ to UR to UR* (LR for some), unlocking skills and caps",ABSENT,HeroRarityUpgradeStage,Numbers,L,P2,2,Not started,"[UNCHANGED] Everkai's roster already carries rarities (used for Recruit pricing) but there is no advancement between them. | Re-verified in bulk 2026-09-12 against lib/system-maturity.json (counts read from the shipped modules) and a lib/ absence sweep; per-row detail not individually re-read. | 2026-09-15 (measured while closing F3): rarity advancement is ALSO the only unlock for Insight tier II. 7 of the 326 HeroRarityUpgrade rows are type 1, rarity 4 -> afterRarity 5 and name a Hero_Talent_Country*Base_2 skill, each worth up to +600 Aptitude (300 levels x 2) on that Fellow. HeroRarityUpgradeStage carries 54 rows with per-stage heroBaseSkill / heroStarHaloSkill / operationSkill / initialTalent and a lastRarityLevel back-pointer, and the wiki snapshot already records the ladders as strings ('SSR -> SSR+ -> UR* -> LR' and so on) on the rarity field itself, so the advancement paths are readable from data Everkai already ships. Rarity int -> Everkai string measured with no counter-example: 1 N, 2 R, 3 SR, 4 SSR, 5 UR, 6 UR*, 9 SSR+."
F8,Fellows,Bond Compendium,"64 HeroBond groups (Archdemon, Otherworld Valiants, Ancient Magi, Diligent Dynamo); inviting members raises collection progress and activating a complete group grants attribute bonuses",ABSENT,HeroBond (64 groups),Numbers,M,P2,2,Not started,"[UNCHANGED] Pairs naturally with Recruit (B1), which is already Everkai's strongest acquisition surface — collecting a group is a reason to buy a specific character. | Re-verified in bulk 2026-09-12 against lib/system-maturity.json (counts read from the shipped modules) and a lib/ absence sweep; per-row detail not individually re-read."
F9,Fellows,Costume skills,Costumes carry skills; duplicates raise skill level and cap,ABSENT — the wardrobe is cosmetic only,Item costume text; WifeClothes,Numbers,M,P3,2,Not started,"[UNCHANGED] README states plainly: 'This cosmetic policy changes no stats or collection rewards.' Changing that is a design decision, not just an implementation — see B15. | Re-verified in bulk 2026-09-12 against lib/system-maturity.json (counts read from the shipped modules) and a lib/ absence sweep; per-row detail not individually re-read."
F10,Fellows,Vow / True Love,A True Love Key on a Fellow gives them Family identity plus an exclusive costume; keys persist after the event,ABSENT,True Love Keys; HeroOathEvent,Flow,M,P3,2,Not started,[NOT RE-VERIFIED] Event-sourced in the original; the mechanic itself is permanent.
F11,Fellows,"Artifacts: level, aptitude, recycle",Magic Ore levels artifacts (talent growth); Aptitude when equipped; recycle refunds upgrade materials,"PRESENT and now VERIFIED 89/89 against the original's own tables, not 84/84 and 83/83: initial <- Equipment.initialTalent, perLevel <- Equipment.riseTalent, ore <- Equipment.levelupConsume count, recycle <- split_reward/reward_equipmentsmelt resolved through Equipment.smeltReward. Level cap is the original's own Equipment.levelMax of 200 (all 99 rows), and EquipmentLevel.coefficientADH = level-1 for all 1,000 rows, which is exactly Everkai's perLevel*(gearLevel-1). Recycling and forging unchanged.","Equipment (99), EquipmentLevel (1000)",Numbers,S,P1,2,Fixed 2026-09-15,"[FIXED 2026-09-15] Data guard added: tests/artifact-source-coverage.test.mjs, negative-controlled three ways (ore != 10*perLevel, a drifted initial, ARTIFACT_CAP moved) -- each fails with its intended message. Measured invariant it pins: levelupConsume count is exactly 10 x riseTalent for all 89 records, so a typo in either imported half is caught. Sums pinned: initial 3,729 / perLevel 540 / ore 5,400 / recycle 35,045, with exactly one record (Item_Weapon_Equipment_6_5) whose smelt reward genuinely pays no ore, so recycle null IS the measurement. *** POWER-CEILING IMPACT, REPORTED LOUDLY: the ceiling fixture was stale and understated. F12-02 raised ARTIFACT_CAP 20 -> 200 on 2026-09-15 and tests/fellow-power.test.mjs kept building maxedRecords at a hard-coded gearLevel:20, so the pinned 'ceiling' was measured against a cap the code had stopped enforcing. Rebaselined to ARTIFACT_CAP: 744,732 -> 1,348,957 (records stage), 1,195,714 -> 2,162,475 (museum), 1,284,793 -> 2,269,308 (familiars), 2,672,207 -> 4,484,008 (stella), 3,976,204 -> 6,684,380 (blessings), 4,096,763 -> 6,965,719 (echoes). Against the original's live-save 3,497,276 that is 1.99x, not 1.17x. The echo stage also had gearLevel:1 hard-coded, which at cap 200 made that stage SUBTRACT 479,571 and left the 'ceiling' below the stage before it; it now uses ARTIFACT_CAP too. No power maths changed -- this is a BALANCE finding for the owner, and the ore cost of 84 artifacts to level 200 is 1,004,950 against ~85/day, so the state is legal long before it is affordable."
F12,Fellows,"Artifacts: type/skills, reforge, awaken, Materia, combos","Artifacts take the wearer's type; same-type skill gives % Power; reforge with enchanting materials capped at 25% per skill; Quick Reforge with oil/gold; awaken SSR+ for new skills; UR Materia with free activation, Ore upgrades, Breakthrough and Refine; legendary artifact combos from fragments",ABSENT,"EquipmentQuenching (25), EquipmentQuenchingConsume (2,000)",Numbers,L,P2,2,Not started,"[NOT RE-VERIFIED] Original reforge rolls are explicitly not reproduced. The largest remaining Fellow-power layer after F5-F8. | 2026-09-15 CORRECTION (measured while closing F12-03): 'Materia', 'Reforge' and 'Awaken' are Everkai-local names -- no such table exists anywhere in the 1,499-table config set. Quenching and reforge are ONE system, not two: equipment_quenching rolls, equipment_replace keeps or discards. The 'capped at 25% per skill' figure is not what the tables say either; the cap is per SLOT, riseADH 2500 = +25% on a slot, with 2-15 slots per artifact. Full measurement in docs/artifact-quenching.md; the percent side is F12-03 and is deferred on balance grounds."
F13,Family,"Intimacy, Blessing Power, gifts",Intimacy drives pupil earnings; Blessing Power drives date points; gifts raise both,"PRESENT — 5 original gifts plus 10 fixed gifts, bought with gold at local prices",Wife rules; WifeLevel,Numbers,S,P1,3,Not started,[NOT RE-VERIFIED] One of Everkai's strongest systems. Gift prices are local.
